Artificial Analysis Intelligence Index v4.3 | Intelligence Index | 2026-09-22
前沿按全量订阅/API（含不计额度的 ≈$0 促销点，与帕累托图一致）的单价与得分筛选，非额度排名；同价同分套餐均保留；缺分模型不参与，估算不确定性未纳入筛选。
真实单价总览 · 订阅与 API 统一对比
美元/credits与API三段价统一按97%缓存 / 2.5%输入 / 0.5%输出折算；直接total-token实测不重算
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                           价格/月  服务模型             月额度(亿)  $/MTok   置信度  Intelligence Index  得分版本                             Harness  思考强度  映射
----  -----------------------------  -------  -------------------  ----------  -------  ------  ------------------  -----------------------------------  -------  --------  -----------------------------
1     Step Plan Max (¥699)           CNY 699  Step 3.5 Flash       1731.6      0.0006   medium  16.9641             Step 3.5 Flash 2603 [AA estimate]    —        —         model_configuration_reference
2     Step Plan Max (¥699)           CNY 699  Step 3.7 Flash       858.83      0.0012   medium  19.4813             Step 3.7 Flash [AA estimate]         —        —         model_configuration_reference
3     OpenCode Go                    USD 10   MiMo V2.5            78.782      0.00127  medium  25.1743             MiMo-V2.5 [AA estimate]              —        —         model_configuration_reference
4     ChatGPT Pro 20x                USD 200  GPT 5.6 Luna         1502.22     0.00133  low     37.3244             GPT-5.6 Luna (max)                   —        max       model_configuration_reference
5     Command Code GOAT              USD 10   DeepSeek V4.1 Flash  41.408      0.00241  medium  39.4562             DeepSeek V4.1 Flash (max)            —        max       model_configuration_reference
6     GLM Coding Pro (v2 ¥149) 闲时  CNY 149  GLM 5.3 Flash        74.92       0.00293  high    41.8075             GLM-5.3-Flash                        —        —         model_configuration_reference
7     Step Plan Max (¥699)           CNY 699  Step 5 Preview       283.186     0.00364  medium  44                  Step 5 Preview                       —        —         model_configuration_reference
8     Claude Pro                     USD 20   Claude Opus 5.5      36.089      0.00554  low     57.6224             Claude Opus 5.5 (max with fallback)  —        max       model_configuration_reference
